variable,max_lat_N,min_lat_S,max_long_E,min_long_W,start_time,end_time,temporal_resolution,spatial_resolution,temporal_agg_type,spatial_agg_type,min,max,file_size,file_name
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,1D,0.5,max,max,193.13,326.91,7223.09,2m_temperature-day-max.nc__max.nc_1738893725814.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,1D,1.0,max,max,194.44,326.91,1805.86,2m_temperature-day-max.nc__max.nc_1738894044079.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,1D,0.5,mean,mean,191.39,319.16,7223.09,2m_temperature-day-mean.nc__mean.nc_1738894577464.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,1D,1.0,mean,mean,191.62,318.65,1805.86,2m_temperature-day-mean.nc__mean.nc_1738894902284.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,1D,0.5,min,min,189.24,312.89,7223.09,2m_temperature-day-min.nc__min.nc_1738895464234.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,1D,1.0,min,min,189.24,311.02,1805.86,2m_temperature-day-min.nc__min.nc_1738895780359.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,1ME,0.5,max,max,209.87,326.91,237.32,2m_temperature-month-max.nc__max.nc_1738896101143.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,1ME,1.0,max,max,211.36,326.91,59.34,2m_temperature-month-max.nc__max.nc_1738896110345.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,1ME,0.5,mean,mean,200.11,315.37,237.32,2m_temperature-month-mean.nc__mean.nc_1738896124382.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,1ME,1.0,mean,mean,200.71,314.93,59.34,2m_temperature-month-mean.nc__mean.nc_1738896134802.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,1ME,0.5,min,min,189.24,306.57,237.32,2m_temperature-month-min.nc__min.nc_1738896148965.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,1ME,1.0,min,min,189.24,305.6,59.34,2m_temperature-month-min.nc__min.nc_1738896157870.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,1YE,0.5,max,max,243.33,326.91,19.79,2m_temperature-year-max.nc__max.nc_1738896165201.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,1YE,1.0,max,max,243.84,326.91,4.96,2m_temperature-year-max.nc__max.nc_1738896169684.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,1YE,0.5,mean,mean,217.84,307.83,19.79,2m_temperature-year-mean.nc__mean.nc_1738896173708.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,1YE,1.0,mean,mean,217.98,305.52,4.96,2m_temperature-year-mean.nc__mean.nc_1738896178464.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,1YE,0.5,min,min,189.24,298.98,19.79,2m_temperature-year-min.nc__min.nc_1738896182235.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,1YE,1.0,min,min,189.24,298.86,4.96,2m_temperature-year-min.nc__min.nc_1738896186679.nc
