variable,max_lat_N,min_lat_S,max_long_E,min_long_W,start_time,end_time,temporal_resolution,spatial_resolution,temporal_agg_type,spatial_agg_type,min,max,file_size,file_name
2m_temperature,85,80,0,-20,2000-01-01T00:00,2001-12-31T23:00,Y,1.0,mean,mean,255.27,262.95,0.02,2m_temperature_t1_s1_1733801032449_mean_mean.nc
2m_temperature,85,80,0,-20,2000-01-01T00:00,2001-12-31T23:00,Y,1.0,mean,min,254.59,262.27,0.02,2m_temperature_t1_s1_1733801032449_mean_min.nc
2m_temperature,85,80,0,-20,2000-01-01T00:00,2001-12-31T23:00,Y,1.0,mean,max,255.84,263.83,0.02,2m_temperature_t1_s1_1733801032449_mean_max.nc
2m_temperature,85,80,0,-20,2000-01-01T00:00,2001-12-31T23:00,Y,1.0,min,mean,230.07,244.32,0.02,2m_temperature_t1_s1_1733801032449_min_mean.nc
2m_temperature,85,80,0,-20,2000-01-01T00:00,2001-12-31T23:00,Y,1.0,min,min,227.5,242.8,0.02,2m_temperature_t1_s1_1733801032449_min_min.nc
2m_temperature,85,80,0,-20,2000-01-01T00:00,2001-12-31T23:00,Y,1.0,min,max,231.2,245.28,0.02,2m_temperature_t1_s1_1733801032449_min_max.nc
2m_temperature,85,80,0,-20,2000-01-01T00:00,2001-12-31T23:00,Y,1.0,max,mean,274.84,281.94,0.02,2m_temperature_t1_s1_1733801032449_max_mean.nc
2m_temperature,85,80,0,-20,2000-01-01T00:00,2001-12-31T23:00,Y,1.0,max,min,274.73,279.28,0.02,2m_temperature_t1_s1_1733801032449_max_min.nc
2m_temperature,85,80,0,-20,2000-01-01T00:00,2001-12-31T23:00,Y,1.0,max,max,274.88,285.17,0.02,2m_temperature_t1_s1_1733801032449_max_max.nc
2m_temperature,85,80,0,-20,2002-01-01T00:00,2003-12-31T23:00,Y,0.5,mean,mean,255.0,264.04,0.03,2m_temperature_t1_s1_1733804562888_mean_mean.nc
2m_temperature,85,80,0,-20,2002-01-01T00:00,2003-12-31T23:00,Y,0.5,mean,min,254.77,263.83,0.03,2m_temperature_t1_s1_1733804562888_mean_min.nc
2m_temperature,85,80,0,-20,2002-01-01T00:00,2003-12-31T23:00,Y,0.5,mean,max,255.09,264.25,0.03,2m_temperature_t1_s1_1733804562888_mean_max.nc
2m_temperature,85,80,0,-20,2002-01-01T00:00,2003-12-31T23:00,Y,1.0,mean,mean,255.2,263.66,0.02,2m_temperature_t1_s2_1733804562888_mean_mean.nc
2m_temperature,85,80,0,-20,2002-01-01T00:00,2003-12-31T23:00,Y,1.0,mean,min,254.77,263.15,0.02,2m_temperature_t1_s2_1733804562888_mean_min.nc
2m_temperature,85,80,0,-20,2002-01-01T00:00,2003-12-31T23:00,Y,1.0,mean,max,255.7,264.25,0.02,2m_temperature_t1_s2_1733804562888_mean_max.nc
2m_temperature,85,80,0,-20,2002-01-01T00:00,2003-12-31T23:00,Y,0.5,min,mean,227.18,246.83,0.03,2m_temperature_t1_s1_1733804562888_min_mean.nc
2m_temperature,85,80,0,-20,2002-01-01T00:00,2003-12-31T23:00,Y,0.5,min,min,226.39,246.72,0.03,2m_temperature_t1_s1_1733804562888_min_min.nc
2m_temperature,85,80,0,-20,2002-01-01T00:00,2003-12-31T23:00,Y,0.5,min,max,227.96,246.96,0.03,2m_temperature_t1_s1_1733804562888_min_max.nc
2m_temperature,85,80,0,-20,2002-01-01T00:00,2003-12-31T23:00,Y,1.0,min,mean,229.51,246.47,0.02,2m_temperature_t1_s2_1733804562888_min_mean.nc
2m_temperature,85,80,0,-20,2002-01-01T00:00,2003-12-31T23:00,Y,1.0,min,min,226.39,245.82,0.02,2m_temperature_t1_s2_1733804562888_min_min.nc
2m_temperature,85,80,0,-20,2002-01-01T00:00,2003-12-31T23:00,Y,1.0,min,max,232.82,246.96,0.02,2m_temperature_t1_s2_1733804562888_min_max.nc
2m_temperature,85,80,0,-20,2002-01-01T00:00,2003-12-31T23:00,Y,0.5,max,mean,275.26,284.99,0.03,2m_temperature_t1_s1_1733804562888_max_mean.nc
2m_temperature,85,80,0,-20,2002-01-01T00:00,2003-12-31T23:00,Y,0.5,max,min,275.24,283.95,0.03,2m_temperature_t1_s1_1733804562888_max_min.nc
2m_temperature,85,80,0,-20,2002-01-01T00:00,2003-12-31T23:00,Y,0.5,max,max,275.27,287.62,0.03,2m_temperature_t1_s1_1733804562888_max_max.nc
2m_temperature,85,80,0,-20,2002-01-01T00:00,2003-12-31T23:00,Y,1.0,max,mean,275.44,284.13,0.02,2m_temperature_t1_s2_1733804562888_max_mean.nc
2m_temperature,85,80,0,-20,2002-01-01T00:00,2003-12-31T23:00,Y,1.0,max,min,275.24,281.16,0.02,2m_temperature_t1_s2_1733804562888_max_min.nc
2m_temperature,85,80,0,-20,2002-01-01T00:00,2003-12-31T23:00,Y,1.0,max,max,275.6,287.62,0.02,2m_temperature_t1_s2_1733804562888_max_max.nc
2m_temperature,85,80,0,-20,2004-01-01T00:00,2005-12-31T23:00,M,0.5,mean,mean,240.08,276.41,0.04,2m_temperature_t1_s1_1733808198155_mean_mean.nc
2m_temperature,85,80,0,-20,2004-01-01T00:00,2005-12-31T23:00,M,0.5,mean,min,238.6,275.37,0.04,2m_temperature_t1_s1_1733808198155_mean_min.nc
