variable,max_lat_N,min_lat_S,max_long_E,min_long_W,start_time,end_time,temporal_resolution,spatial_resolution,file_name
2m_temperature,85,80,20,0,2000-01-01T00:00,2001-12-31T23:00,1YE,1.0,2m_temperature_t0_s0_1733876081458.nc
2m_temperature,85,80,20,0,2002-01-01T00:00,2003-12-31T23:00,1YE,0.5,2m_temperature_t0_s0_1733884071573.nc
2m_temperature,85,80,20,0,2004-01-01T00:00,2005-12-31T23:00,1ME,0.5,2m_temperature_t0_s0_1733892305227.nc
2m_temperature,85,80,20,0,2006-01-01T00:00,2007-12-31T23:00,1ME,0.5,2m_temperature_t0_s0_1733898114363.nc
2m_temperature,85,80,20,0,2008-01-01T00:00,2009-12-31T23:00,1ME,0.5,2m_temperature_t0_s0_1733901518463.nc
2m_temperature,85,80,20,0,2010-01-01T00:00,2011-12-31T23:00,1D,0.25,2m_temperature_t0_s0_1733904912705.nc
2m_temperature,85,80,20,0,2012-01-01T00:00,2013-12-31T23:00,1D,0.25,2m_temperature_t0_s0_1733908799047.nc
2m_temperature,85,80,20,0,2014-01-01T00:00,2015-12-31T23:00,1D,0.25,2m_temperature_t0_s0_1733912803815.nc
2m_temperature,85,80,20,0,2016-01-01T00:00,2017-12-31T23:00,1D,0.25,2m_temperature_t0_s0_1733920565362.nc
2m_temperature,85,80,20,0,2018-01-01T00:00,2019-12-31T23:00,1H,0.25,2m_temperature_t0_s0_1733928679667.nc
2m_temperature,10,0,15,0,2015-01-10T00:00,2020-12-31T23:00,1ME,0.25,2m_temperature_t0_s0_1733770861799.nc
2m_temperature,85,80,0,-20,2000-01-01T00:00,2001-12-31T23:00,1YE,1.0,2m_temperature_t0_s0_1733801032449.nc
2m_temperature,85,80,0,-20,2002-01-01T00:00,2003-12-31T23:00,1YE,0.5,2m_temperature_t0_s0_1733804562888.nc
2m_temperature,85,80,0,-20,2004-01-01T00:00,2005-12-31T23:00,1ME,0.5,2m_temperature_t0_s0_1733808198155.nc
2m_temperature,85,80,0,-20,2006-01-01T00:00,2007-12-31T23:00,1ME,0.5,2m_temperature_t0_s0_1733812079234.nc
2m_temperature,85,80,0,-20,2008-01-01T00:00,2009-12-31T23:00,1ME,0.5,2m_temperature_t0_s0_1733815605840.nc
2m_temperature,85,80,0,-20,2010-01-01T00:00,2011-12-31T23:00,1D,0.25,2m_temperature_t0_s0_1733819365091.nc
2m_temperature,85,80,0,-20,2012-01-01T00:00,2013-12-31T23:00,1D,0.25,2m_temperature_t0_s0_1733824848996.nc
2m_temperature,85,80,0,-20,2014-01-01T00:00,2015-12-31T23:00,1D,0.25,2m_temperature_t0_s0_1733837449698.nc
2m_temperature,85,80,0,-20,2016-01-01T00:00,2017-12-31T23:00,1D,0.25,2m_temperature_t0_s0_1733850536277.nc
2m_temperature,85,80,0,-20,2018-01-01T00:00,2019-12-31T23:00,1H,0.25,2m_temperature_t0_s0_1733865189564.nc
2m_temperature,85,80,0,-20,2020-01-01T00:00,2020-12-31T23:00,1H,0.25,2m_temperature_t0_s0_1733869795586.nc
