variable,max_lat_N,min_lat_S,max_long_E,min_long_W,start_time,end_time,temporal_resolution,spatial_resolution,temporal_agg_type,spatial_agg_type,min,max,file_size,file_name
sea_surface_temperature,90,60,180,-180,2006-01-01T00:00,2009-12-31T23:00,M,1.0,mean,mean,269.77,294.28,0.44,sea_surface_temperature_t1_s1_Y_1737002368423_mean_mean.nc
sea_surface_temperature,90,60,180,-180,2006-01-01T00:00,2009-12-31T23:00,M,1.0,mean,min,269.73,294.28,0.42,sea_surface_temperature_t1_s1_Y_1737002368423_mean_min.nc
sea_surface_temperature,90,60,180,-180,2006-01-01T00:00,2009-12-31T23:00,M,1.0,mean,max,269.77,294.3,0.44,sea_surface_temperature_t1_s1_Y_1737002368423_mean_max.nc
sea_surface_temperature,90,60,180,-180,2006-01-01T00:00,2009-12-31T23:00,M,1.0,min,mean,269.39,290.89,0.39,sea_surface_temperature_t1_s1_Y_1737002368423_min_mean.nc
sea_surface_temperature,90,60,180,-180,2006-01-01T00:00,2009-12-31T23:00,M,1.0,min,min,269.24,290.74,0.34,sea_surface_temperature_t1_s1_Y_1737002368423_min_min.nc
sea_surface_temperature,90,60,180,-180,2006-01-01T00:00,2009-12-31T23:00,M,1.0,min,max,269.39,291.28,0.34,sea_surface_temperature_t1_s1_Y_1737002368423_min_max.nc
sea_surface_temperature,90,60,180,-180,2006-01-01T00:00,2009-12-31T23:00,M,1.0,max,mean,269.94,302.13,0.46,sea_surface_temperature_t1_s1_Y_1737002368423_max_mean.nc
sea_surface_temperature,90,60,180,-180,2006-01-01T00:00,2009-12-31T23:00,M,1.0,max,min,269.89,302.13,0.4,sea_surface_temperature_t1_s1_Y_1737002368423_max_min.nc
sea_surface_temperature,90,60,180,-180,2006-01-01T00:00,2009-12-31T23:00,M,1.0,max,max,269.94,302.49,0.4,sea_surface_temperature_t1_s1_Y_1737002368423_max_max.nc
sea_surface_temperature,90,60,180,-180,2006-01-01T00:00,2009-12-31T23:00,Y,1.0,mean,mean,271.32,283.94,0.07,sea_surface_temperature_t2_s1_Y_1737002368423_mean_mean.nc
sea_surface_temperature,90,60,180,-180,2006-01-01T00:00,2009-12-31T23:00,Y,1.0,mean,min,271.32,283.76,0.07,sea_surface_temperature_t2_s1_Y_1737002368423_mean_min.nc
sea_surface_temperature,90,60,180,-180,2006-01-01T00:00,2009-12-31T23:00,Y,1.0,mean,max,271.32,284.03,0.07,sea_surface_temperature_t2_s1_Y_1737002368423_mean_max.nc
sea_surface_temperature,90,60,180,-180,2006-01-01T00:00,2009-12-31T23:00,Y,1.0,min,mean,269.39,281.91,0.06,sea_surface_temperature_t2_s1_Y_1737002368423_min_mean.nc
sea_surface_temperature,90,60,180,-180,2006-01-01T00:00,2009-12-31T23:00,Y,1.0,min,min,269.24,281.81,0.06,sea_surface_temperature_t2_s1_Y_1737002368423_min_min.nc
sea_surface_temperature,90,60,180,-180,2006-01-01T00:00,2009-12-31T23:00,Y,1.0,min,max,269.39,282.06,0.05,sea_surface_temperature_t2_s1_Y_1737002368423_min_max.nc
sea_surface_temperature,90,60,180,-180,2006-01-01T00:00,2009-12-31T23:00,Y,1.0,max,mean,271.46,302.13,0.08,sea_surface_temperature_t2_s1_Y_1737002368423_max_mean.nc
sea_surface_temperature,90,60,180,-180,2006-01-01T00:00,2009-12-31T23:00,Y,1.0,max,min,271.46,302.13,0.07,sea_surface_temperature_t2_s1_Y_1737002368423_max_min.nc
sea_surface_temperature,90,60,180,-180,2006-01-01T00:00,2009-12-31T23:00,Y,1.0,max,max,271.46,302.49,0.07,sea_surface_temperature_t2_s1_Y_1737002368423_max_max.nc
