variable,max_lat,min_lat,max_lon,min_lon,start_datetime,end_datetime,temporal_resolution,spatial_resolution,temporal_aggregation,spatial_aggregation,min,max,file_size,file_path
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,day,0.5,mean,mean,62902.43,106362.84,248.64,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s1_A_1736944178774_mean_mean.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,day,0.5,mean,min,62852.2,106332.37,237.61,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s1_A_1736944178774_mean_min.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,day,0.5,mean,max,62947.5,106459.66,239.78,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s1_A_1736944178774_mean_max.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,day,1.0,mean,mean,62985.7,106312.66,74.87,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s2_A_1736944178774_mean_mean.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,day,1.0,mean,min,62852.2,106185.2,72.52,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s2_A_1736944178774_mean_min.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,day,1.0,mean,max,63221.5,106459.66,64.53,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s2_A_1736944178774_mean_max.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,day,0.5,min,mean,62703.4,106197.5,210.79,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s1_A_1736944178774_min_mean.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,day,0.5,min,min,62654.9,106174.06,170.31,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s1_A_1736944178774_min_min.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,day,0.5,min,max,62755.9,106232.31,178.12,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s1_A_1736944178774_min_max.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,day,1.0,min,mean,62793.62,106096.25,68.23,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s2_A_1736944178774_min_mean.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,day,1.0,min,min,62654.9,105940.06,52.52,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s2_A_1736944178774_min_min.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,day,1.0,min,max,63037.9,106232.31,47.18,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s2_A_1736944178774_min_max.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,day,0.5,max,mean,63204.28,106487.44,206.27,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s1_A_1736944178774_max_mean.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,day,0.5,max,min,63167.28,106454.19,170.43,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s1_A_1736944178774_max_min.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,day,0.5,max,max,63243.28,106589.19,171.94,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s1_A_1736944178774_max_max.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,day,1.0,max,mean,63293.96,106441.06,67.25,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s2_A_1736944178774_max_mean.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,day,1.0,max,min,63167.28,106312.19,51.48,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s2_A_1736944178774_max_min.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,day,1.0,max,max,63518.28,106589.19,58.11,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t1_s2_A_1736944178774_max_max.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,month,0.5,mean,mean,64860.22,103699.87,7.21,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t2_s1_A_1736944178774_mean_mean.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,month,0.5,mean,min,64804.71,103633.85,7.17,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t2_s1_A_1736944178774_mean_min.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,month,0.5,mean,max,64912.14,103810.01,7.11,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t2_s1_A_1736944178774_mean_max.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,month,1.0,mean,mean,64930.7,103567.73,1.89,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t2_s2_A_1736944178774_mean_mean.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,month,1.0,mean,min,64804.71,103498.69,1.9,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t2_s2_A_1736944178774_mean_min.nc
surface_pressure,90,50,180,-180,2015-01-01T00:00,2019-12-31T23:00,month,1.0,mean,max,65143.77,103810.01,1.85,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t2_s2_A_1736944178774_mean_max.nc
