variable,max_lat_N,min_lat_S,max_long_E,min_long_W,start_time,end_time,temporal_resolution,spatial_resolution,temporal_agg_type,spatial_agg_type,min,max,file_size,file_name
surface_pressure,90,60,-10,-80,2024-01-01T00:00,2024-12-31T23:00,1H,0.25,none,none,63373.3,105371.12,388.56,surface_pressure_t0_s0_A_1736925232675.nc
surface_pressure,90,60,-10,-80,2024-01-01T00:00,2024-12-31T23:00,1H,0.5,none,mean,63423.3,105101.38,137.54,surface_pressure_t0_s1_A_1736925232675_mean.nc
surface_pressure,90,60,-10,-80,2024-01-01T00:00,2024-12-31T23:00,1H,0.5,none,min,63373.3,104934.88,112.6,surface_pressure_t0_s1_A_1736925232675_min.nc
surface_pressure,90,60,-10,-80,2024-01-01T00:00,2024-12-31T23:00,1H,0.5,none,max,63471.3,105371.12,113.52,surface_pressure_t0_s1_A_1736925232675_max.nc
surface_pressure,90,60,-10,-80,2024-01-01T00:00,2024-12-31T23:00,1H,1.0,none,mean,63506.99,104849.06,39.57,surface_pressure_t0_s2_A_1736925232675_mean.nc
surface_pressure,90,60,-10,-80,2024-01-01T00:00,2024-12-31T23:00,1H,1.0,none,min,63373.3,104710.88,32.45,surface_pressure_t0_s2_A_1736925232675_min.nc
surface_pressure,90,60,-10,-80,2024-01-01T00:00,2024-12-31T23:00,1H,1.0,none,max,63724.25,105371.12,32.41,surface_pressure_t0_s2_A_1736925232675_max.nc
surface_pressure,90,60,-10,-80,2024-01-01T00:00,2024-12-31T23:00,D,0.25,mean,none,63429.34,105218.62,30.13,surface_pressure_t1_s0_A_1736925232675_mean.nc
surface_pressure,90,60,-10,-80,2024-01-01T00:00,2024-12-31T23:00,D,0.5,mean,mean,63484.39,104957.14,6.63,surface_pressure_t1_s1_A_1736925232675_mean_mean.nc
surface_pressure,90,60,-10,-80,2024-01-01T00:00,2024-12-31T23:00,D,0.5,mean,min,63429.34,104807.91,6.28,surface_pressure_t1_s1_A_1736925232675_mean_min.nc
surface_pressure,90,60,-10,-80,2024-01-01T00:00,2024-12-31T23:00,D,0.5,mean,max,63535.09,105218.62,6.24,surface_pressure_t1_s1_A_1736925232675_mean_max.nc
surface_pressure,90,60,-10,-80,2024-01-01T00:00,2024-12-31T23:00,D,1.0,mean,mean,63558.37,104741.61,1.73,surface_pressure_t1_s2_A_1736925232675_mean_mean.nc
surface_pressure,90,60,-10,-80,2024-01-01T00:00,2024-12-31T23:00,D,1.0,mean,min,63429.34,104592.62,1.68,surface_pressure_t1_s2_A_1736925232675_mean_min.nc
surface_pressure,90,60,-10,-80,2024-01-01T00:00,2024-12-31T23:00,D,1.0,mean,max,63781.59,105218.62,1.66,surface_pressure_t1_s2_A_1736925232675_mean_max.nc
surface_pressure,90,60,-10,-80,2024-01-01T00:00,2024-12-31T23:00,D,0.25,min,none,63373.3,104980.06,21.32,surface_pressure_t1_s0_A_1736925232675_min.nc
surface_pressure,90,60,-10,-80,2024-01-01T00:00,2024-12-31T23:00,D,0.5,min,mean,63423.3,104716.31,5.68,surface_pressure_t1_s1_A_1736925232675_min_mean.nc
surface_pressure,90,60,-10,-80,2024-01-01T00:00,2024-12-31T23:00,D,0.5,min,min,63373.3,104578.06,4.77,surface_pressure_t1_s1_A_1736925232675_min_min.nc
surface_pressure,90,60,-10,-80,2024-01-01T00:00,2024-12-31T23:00,D,0.5,min,max,63471.3,104980.06,4.75,surface_pressure_t1_s1_A_1736925232675_min_max.nc
surface_pressure,90,60,-10,-80,2024-01-01T00:00,2024-12-31T23:00,D,1.0,min,mean,63506.99,104518.38,1.65,surface_pressure_t1_s2_A_1736925232675_min_mean.nc
surface_pressure,90,60,-10,-80,2024-01-01T00:00,2024-12-31T23:00,D,1.0,min,min,63373.3,104398.06,1.32,surface_pressure_t1_s2_A_1736925232675_min_min.nc
surface_pressure,90,60,-10,-80,2024-01-01T00:00,2024-12-31T23:00,D,1.0,min,max,63724.25,104980.06,1.3,surface_pressure_t1_s2_A_1736925232675_min_max.nc
surface_pressure,90,60,-10,-80,2024-01-01T00:00,2024-12-31T23:00,D,0.25,max,none,63501.75,105371.12,19.53,surface_pressure_t1_s0_A_1736925232675_max.nc
surface_pressure,90,60,-10,-80,2024-01-01T00:00,2024-12-31T23:00,D,0.5,max,mean,63553.75,105101.38,5.57,surface_pressure_t1_s1_A_1736925232675_max_mean.nc
surface_pressure,90,60,-10,-80,2024-01-01T00:00,2024-12-31T23:00,D,0.5,max,min,63501.75,104934.88,4.69,surface_pressure_t1_s1_A_1736925232675_max_min.nc
surface_pressure,90,60,-10,-80,2024-01-01T00:00,2024-12-31T23:00,D,0.5,max,max,63601.75,105371.12,4.66,surface_pressure_t1_s1_A_1736925232675_max_max.nc
surface_pressure,90,60,-10,-80,2024-01-01T00:00,2024-12-31T23:00,D,1.0,max,mean,63629.5,104849.06,1.62,surface_pressure_t1_s2_A_1736925232675_max_mean.nc
surface_pressure,90,60,-10,-80,2024-01-01T00:00,2024-12-31T23:00,D,1.0,max,min,63501.75,104710.88,1.29,surface_pressure_t1_s2_A_1736925232675_max_min.nc
surface_pressure,90,60,-10,-80,2024-01-01T00:00,2024-12-31T23:00,D,1.0,max,max,63851.75,105371.12,1.26,surface_pressure_t1_s2_A_1736925232675_max_max.nc
surface_pressure,90,60,-10,-80,2024-01-01T00:00,2024-12-31T23:00,M,0.25,mean,none,65588.68,102873.6,0.85,surface_pressure_t2_s0_A_1736925232675_mean.nc
surface_pressure,90,60,-10,-80,2024-01-01T00:00,2024-12-31T23:00,M,0.5,mean,mean,65643.41,102600.85,0.24,surface_pressure_t2_s1_A_1736925232675_mean_mean.nc
surface_pressure,90,60,-10,-80,2024-01-01T00:00,2024-12-31T23:00,M,0.5,mean,min,65588.68,102460.91,0.24,surface_pressure_t2_s1_A_1736925232675_mean_min.nc
surface_pressure,90,60,-10,-80,2024-01-01T00:00,2024-12-31T23:00,M,0.5,mean,max,65693.97,102873.6,0.24,surface_pressure_t2_s1_A_1736925232675_mean_max.nc
surface_pressure,90,60,-10,-80,2024-01-01T00:00,2024-12-31T23:00,M,1.0,mean,mean,65714.91,102411.73,0.08,surface_pressure_t2_s2_A_1736925232675_mean_mean.nc
surface_pressure,90,60,-10,-80,2024-01-01T00:00,2024-12-31T23:00,M,1.0,mean,min,65588.68,102351.37,0.08,surface_pressure_t2_s2_A_1736925232675_mean_min.nc
surface_pressure,90,60,-10,-80,2024-01-01T00:00,2024-12-31T23:00,M,1.0,mean,max,65929.73,102873.6,0.08,surface_pressure_t2_s2_A_1736925232675_mean_max.nc
surface_pressure,90,60,-10,-80,2024-01-01T00:00,2024-12-31T23:00,M,0.25,min,none,63373.3,101361.94,0.64,surface_pressure_t2_s0_A_1736925232675_min.nc
