variable,max_lat_N,min_lat_S,max_long_E,min_long_W,start_time,end_time,temporal_resolution,spatial_resolution,file_name
2m_temperature,90,40,180,-180,1965-01-01T00:00,1969-12-31T23:00,Y,1,/data/iharp-customized-storage/storage/temperature/2m_temperature_t0_s0_1736572713736.nc
2m_temperature,-70,-90,180,-180,1965-01-01T00:00,1969-12-31T23:00,Y,1,/data/iharp-customized-storage/storage/temperature/2m_temperature_t0_s0_1736588618628.nc
2m_temperature,90,40,180,-180,1970-01-01T00:00,1974-12-31T23:00,Y,1,/data/iharp-customized-storage/storage/temperature/2m_temperature_t0_s0_1736600526584.nc
2m_temperature,-70,-90,180,-180,1970-01-01T00:00,1974-12-31T23:00,Y,1,/data/iharp-customized-storage/storage/temperature/2m_temperature_t0_s0_1736621475040.nc
2m_temperature,90,40,180,-180,1975-01-01T00:00,1979-12-31T23:00,Y,1,/data/iharp-customized-storage/storage/temperature/2m_temperature_t0_s0_1736635724319.nc
2m_temperature,-70,-90,180,-180,1975-01-01T00:00,1979-12-31T23:00,Y,1,/data/iharp-customized-storage/storage/temperature/2m_temperature_t0_s0_1736664072779.nc
2m_temperature,90,40,180,-180,1980-01-01T00:00,1984-12-31T23:00,Y,1,/data/iharp-customized-storage/storage/temperature/2m_temperature_t0_s0_1736679857278.nc
2m_temperature,-70,-90,180,-180,1980-01-01T00:00,1984-12-31T23:00,Y,1,/data/iharp-customized-storage/storage/temperature/2m_temperature_t0_s0_1736703444534.nc
2m_temperature,90,40,180,-180,1985-01-01T00:00,1989-12-31T23:00,Y,1,/data/iharp-customized-storage/storage/temperature/2m_temperature_t0_s0_1736711657408.nc
2m_temperature,-70,-90,180,-180,1985-01-01T00:00,1989-12-31T23:00,Y,1,/data/iharp-customized-storage/storage/temperature/2m_temperature_t0_s0_1736728343874.nc
