variable,max_lat_N,min_lat_S,max_long_E,min_long_W,start_time,end_time,temporal_resolution,spatial_resolution
total_precipitation,90,40,180,-180,1990,1994,Y,1
total_precipitation,-70,-90,180,-180,1990,1994,Y,1
total_precipitation,90,40,180,-180,1995,1999,Y,1
total_precipitation,-70,-90,180,-180,1995,1999,Y,1
total_precipitation,90,40,180,-180,2000,2004,Y,0.25
total_precipitation,-70,-90,180,-180,2000,2004,Y,0.25
total_precipitation,90,40,180,-180,2005,2009,M,1
total_precipitation,-70,-90,180,-180,2005,2009,M,1
total_precipitation,90,40,180,0,2010,2012,D,0.5
total_precipitation,90,40,0,-70,2010,2012,D,0.25
